"index","book_id","book_title","publication_info","author","num_ratings","num_reviews","average_rating","publication_date"
259,3109,"The Omnivore's Dilemma: A Natural History of Four Meals","First published ","Michael Pollan",204534,14210,"4.18","2006-04-11"
260,3110,"Assassination Vacation","First published ","Sarah Vowell",46574,4099,"3.93","2005-03-01"
261,3140,"The Bridge on the Drina","First published ","Ivo Andrić",21782,1669,"4.33","1945-01-01"
262,3273,"Moloka'i","First published ","Alan Brennert",131086,11896,"4.19","2003-10-21"
263,3282,"Minds, Brains and Science","First published ","John Rogers Searle",581,35,"3.75","1984-01-01"
264,3300,"Inés of My Soul","First published ","Isabel Allende",29801,2448,"3.98","2006-01-01"
265,3304,"City of the Beasts","First published ","Isabel Allende",40903,2326,"3.74","2002-01-01"
266,3378,"Generation X: Tales for an Accelerated Culture","First published ","Douglas Coupland",28971,1312,"3.74","1991-01-01"
267,3379,"All Families are Psychotic","First published ","Douglas Coupland",14260,666,"3.70","2001-09-15"
268,3381,"Hey Nostradamus!","First published ","Douglas Coupland",19023,770,"3.73","2003-01-01"
269,3384,"Girlfriend in a Coma","First published ","Douglas Coupland",19567,926,"3.62","1998-01-01"
270,3388,"Corelli’s Mandolin","First published ","Louis de Bernières",86940,3451,"4.02","1994-01-01"
271,3394,"The War of Don Emmanuel's Nether Parts","First published ","Louis de Bernières",6848,435,"4.06","1990-01-01"
273,3400,"The Troublesome Offspring of Cardinal Guzmán","First published ","Louis de Bernières",3666,140,"4.13","1992-01-01"
274,3412,"The Thorn Birds","First published ","Colleen McCullough",350765,7987,"4.24","1977-04-01"
275,3424,"The Grass Crown","First published ","Colleen McCullough",12510,368,"4.33","1990-01-01"
276,3431,"The Five People You Meet in Heaven","First published ","Mitch Albom",723390,28672,"3.99","2003-09-01"
277,3445,"If I Die in a Combat Zone, Box Me Up and Ship Me Home","First published ","Tim O'Brien",11111,594,"3.95","1973-01-01"
278,3446,"Going After Cacciato","First published ","Tim O'Brien",13904,920,"3.90","1978-01-01"
280,3462,"The Rescue","First published ","Nicholas Sparks",202969,5084,"4.12","2000-01-01"
281,3463,"A Bend in the Road","First published ","Nicholas Sparks",158383,4751,"4.04","2001-09-18"
282,3464,"True Believer","First published ","Nicholas Sparks",96851,3629,"3.84","2003-01-01"
283,3465,"Three Weeks With My Brother","First published ","Nicholas Sparks",46950,3358,"4.03","2004-04-05"
